,% Inhibitor,% Promoter,% Neither,Total Sentences Found
mag,0.8863029122472403,0.07069232744935516,0.04300475849622463,524
edta,0.5944668997794257,0.23394579827852016,0.1715872935227318,7
moetacl,0.0010933623416349292,0.9653585255146027,0.033548140432685614,2
endo-n,0.37389270138783104,0.11711070582532557,0.5089965798542835,8
mkp-l,0.999610960483551,0.00024164470960386097,0.0001473586162319407,1
lc3-ii,0.8748167335987092,0.12178208687982987,0.0034011976211331786,5
ssea-1,0.3682967826252934,0.30628217850153305,0.32542104040021513,16
limk,0.0016418873565271497,0.9938395619392395,0.004518591798841953,1
lmo4,0.5980526808649301,0.36509239149745554,0.03685490664211102,5
egr2,0.5005126834536592,0.05440716432834355,0.4450801217244589,6
ngfr,0.3492881487527484,0.36234723352875636,0.28836461119256757,12
s1pr2,0.8909598572923145,0.015544369934518314,0.09349580100255976,11
p/caf,0.9724383354187012,0.008046671748161316,0.01951494812965393,1
hrp,0.27849824431728587,0.23958334068513415,0.4819184198763521,105
lel,5.8708895812742413e-05,0.00011511326592881233,0.9998261570930481,5
pdgfr,0.0007692152401432395,0.3834820542018861,0.6157487405464053,5
damps,0.5113926313817501,0.45897709382115864,0.029630300430289934,5
ccc,0.480259676836431,0.3960795021848753,0.12366083492524922,5
lingo-1,0.6015396254992488,0.11309448153285,0.28536589708205107,18
s9,0.7305995365803194,0.10568255386169767,0.16371793467723447,11
rmag,0.9979130625724792,0.00018571245891507715,0.0019012130796909332,1
ds,0.1401861492438911,0.05189147743258218,0.807922359438453,20
p-fak,0.5668453899108701,0.3985649669323013,0.03458965683562888,9
ps,0.3191714475871305,0.10496386962471728,0.5758646738230945,27
dnmts,0.0026097665540874004,0.9967531561851501,0.0006370060727931559,1
tgf-(1,0.001200239872559905,0.024280453100800514,0.9745192527770996,1
tgf-13,0.4746117233997211,0.13075795634067616,0.39463030056576825,10
d-gal-1,0.2107980864430398,0.19247469138185566,0.5967272374484884,19
hoxa-4,0.032322453742381185,0.2900312943238532,0.6776462495326996,2
imp,0.00015327197979786433,0.0021011321502252636,0.9977455933888754,6
ei24,0.9994420409202576,0.00022454827558249235,0.0003333446802571416,1
p-gsk,0.8977365153176444,0.00879241332586389,0.09347108479622486,7
te,0.16610670057518293,0.04358149500352738,0.7903118050753255,50
ng-cam,0.35024996960661764,0.31577064859690535,0.3339794180355966,3
syncams,0.3334819903575408,0.5734040049719624,0.09311399263242492,4
stat6,0.5970194867695682,0.3875606401707046,0.01541988623891181,12
kspg,0.4666669021476991,0.5329662505333544,0.0003668441248009913,5
pdl,0.0006886424962431192,0.9987289607524872,0.0005824094405397773,2
brdu,0.30812977348034565,0.31470946488724394,0.3771607667895296,128
prog,0.5187399374799683,0.2711443801537306,0.21011567803038722,98
klfs,0.2616915899513212,0.7223863815840256,0.01592203809559578,12
ngf,0.4919537460490447,0.42513715597555585,0.08290909860181488,474
hgf,0.1060226918380741,0.6728955027655401,0.22108180137668873,108
pde4,0.6610216634968916,0.3270156725338893,0.011962641622327888,3
nof,0.24296440221686763,0.5107101712565054,0.24632541681190065,11
ido,0.1481185400215654,0.09378755908354289,0.7580938971479608,738
pdgf,0.18732740420222638,0.6211397907667799,0.19153280423028055,61
aav gfp,0.9966281056404114,0.00033575831912457943,0.003036122303456068,1
nmda,0.6890866208421947,0.23196874916204643,0.07894462597903691,74
pro-mmp-9,0.000424346566433087,0.999268114566803,0.0003075491404160857,2
n-cam,0.6681648068259636,0.20948631438686452,0.12234888654738488,54
gdnpf,0.015338931242392087,0.9820988774299622,0.0025621750100981444,3
ach3,0.9993740916252136,0.0005472632474265993,7.867738895583898e-05,1
il,0.010600613889006414,0.025691676847935396,0.9637076965735647,114
lpa,0.1364324039309808,0.09048832525041055,0.7730792649600434,264
klf,0.2560371227900032,0.7175194547418505,0.026443412586231715,25
vglut1,0.6684967279434204,0.303998407558538,0.027504911355208606,2
vldls,0.0013956985203549266,0.025273503735661507,0.9733307361602783,1
troy,0.49894432504152064,0.00121566412174919,0.4998400298851872,6
pa,0.07206813157997737,0.04793686237374867,0.8799949998487889,116
ache,0.10591069838483236,0.042408015902619806,0.8516812646016478,25
ct-1,0.28881737748451997,0.09787562005076325,0.6133069986346527,10
pha-l,0.25350903210346587,0.09289419430569978,0.6535967948148027,4
crmp,0.8098728756109873,0.11875330655796763,0.07137380210527529,6
cl-p1,0.9986513257026672,0.00014387120609171689,0.0012047284981235862,1
klf2,0.0020038310904055834,0.9960236549377441,0.0019725151360034943,2
b-gal,0.4953967426602806,0.46973501924367156,0.034868248524920396,6
arrow,0.17692790930927263,0.15670559343074533,0.6663664970814612,56
plexina4,0.7494280536969503,0.2482683794417729,0.002303588126475612,3
dmem,0.14648897341631428,0.44637928009953987,0.407131756887448,58
vglut2,0.0004996978095732629,0.9972335696220398,0.0022667748853564262,1
stat,0.36284969042855664,0.3466773421547259,0.2904729686387873,25
hes-1,0.5831652209162712,0.4156401132204337,0.001194637021399103,2
tgf-b,0.7186164994823879,0.26268887862430085,0.018694597217420648,7
igf,0.4009816447117676,0.2520692776888609,0.34694904647767544,3
mt-mmps,0.9745267629623413,0.0018041233997792006,0.02366915496531874,2
ptp delta,0.9996297359466553,0.00013212085468694568,0.00023804738884791732,1
p- erk,0.2875027060508728,0.7115135788917542,0.0009837017860263586,1
arhox1,0.28011344771786956,0.38765953985582907,0.3322270041907258,18
alcam,0.492426629178226,0.37124183498478186,0.1363315102547252,3
nile,0.05825619854294928,0.21908820542375906,0.7226555926317815,4
mlc,0.0632773362970056,0.18653066940919416,0.7501919835167428,16
hdacs,0.16216213238658383,0.6231265316455392,0.21471133417981036,8
lngfr,0.5716069862246513,0.0007114478503353894,0.4276815448029083,2
ldlr,0.9972712397575378,0.0014472875045612454,0.001281439559534192,1
phospho- gap43,0.006515743676573038,0.0016162794781848788,0.9918680787086487,1
hspg,0.3187328780083643,0.6059529185410665,0.075314213792273,17
rmg,0.0008845215779729187,0.0005049813189543784,0.9986104965209961,1
aav-egfp,0.2501053411149108,0.13095002158066069,0.6189446292727635,22
tcr,0.00019494321895763278,0.02703193947672844,0.9727731347084045,1
pp2a,0.8236833463840109,0.003325349041915615,0.17299130570851654,12
pi-plc,0.000985289749223739,0.9944390654563904,0.004575655562803149,2
lama2,0.002034523291513324,0.00034274955396540463,0.9976227879524231,1
s6k,0.7373638020362705,0.1115542523421027,0.15108197046902205,8
